date	region	store	sales_volume	arp	sales_rep	endcap	demo	demo13	demo45	natural	fitness
04/05/2010	RM	Academy	270.75	4.29	1	0	1	0	1	2	2
11/05/2010	RM	Academy	314.51	4.29	1	1	1	1	1	2	2
05/18/2010	RM	Academy	390.61	4.09	1	0	1	1	0	2	2
05/25/2010	RM	Academy	249.86	4.09	1	0	0	1	0	2	2
01/06/2010	RM	Academy	222.03	4.79	1	0	0	1	1	2	2
08/06/2010	RM	Academy	276.36	4.15	1	1	1	1	1	2	2
06/15/2010	RM	Academy	294.86	4.15	1	0	1	1	1	2	2
06/22/2010	RM	Academy	383.46	4.05	1	0	1	1	1	2	2
06/29/2010	RM	Academy	300.29	4.05	1	1	1	1	0	2	2
06/07/2010	RM	Academy	296.74	4.58	1	0	1	1	1	2	2
07/13/2010	RM	Academy	429.8	3.56	1	1	1	0	1	2	2
04/05/2010	SW	Alamo Quarry	186.95	4.39	0	1	0	1	1	1	4
11/05/2010	SW	Alamo Quarry	179.85	4.39	0	1	0	1	1	1	4
05/18/2010	SW	Alamo Quarry	133.85	3.84	0	0	0	1	0	1	4
05/25/2010	SW	Alamo Quarry	202.42	3.75	0	0	0	0	1	1	4
01/06/2010	SW	Alamo Quarry	235.23	3.68	0	0	0	0	1	1	4
08/06/2010	SW	Alamo Quarry	145.64	4.8	0	1	0	0	0	1	4
06/15/2010	SW	Alamo Quarry	179.26	4.26	0	1	0	0	0	1	4
06/22/2010	SW	Alamo Quarry	220.8	4.63	0	1	0	0	0	1	4
06/29/2010	SW	Alamo Quarry	199.02	4.63	0	0	0	0	0	1	4
06/07/2010	SW	Alamo Quarry	113.14	4.42	0	1	0	0	0	1	4
07/13/2010	SW	Alamo Quarry	158.7	4.07	0	0	0	0	0	1	4
04/05/2010	SO	Alpharetta (aka Alpharetta Harry's)	194.94	4.05	0	0	0	0	0	3	3
11/05/2010	SO	Alpharetta (aka Alpharetta Harry's)	130.6	3.64	0	0	0	0	0	3	3
05/18/2010	SO	Alpharetta (aka Alpharetta Harry's)	232.02	3.77	0	1	0	0	0	3	3
05/25/2010	SO	Alpharetta (aka Alpharetta Harry's)	212.96	3.55	0	1	0	0	0	3	3
01/06/2010	SO	Alpharetta (aka Alpharetta Harry's)	162.34	3.53	0	1	0	0	0	3	3
08/06/2010	SO	Alpharetta (aka Alpharetta Harry's)	196.19	3.86	0	1	0	0	0	3	3
06/15/2010	SO	Alpharetta (aka Alpharetta Harry's)	189.97	3.64	0	0	0	0	0	3	3
06/22/2010	SO	Alpharetta (aka Alpharetta Harry's)	218.37	3.85	0	1	0	0	0	3	3
06/29/2010	SO	Alpharetta (aka Alpharetta Harry's)	116.25	4.03	0	0	0	0	0	3	3
06/07/2010	SO	Alpharetta (aka Alpharetta Harry's)	244.41	3.63	0	1	0	0	0	3	3
07/13/2010	SO	Alpharetta (aka Alpharetta Harry's)	259.8	3.79	0	0	1	0	0	3	3
04/05/2010	MW	Ann Arbor	171.02	4.19	1	0	0	1	0	3	3
11/05/2010	MW	Ann Arbor	213.93	4.69	1	0	0	1	0	3	3
05/18/2010	MW	Ann Arbor	303.14	4.15	1	0	1	0	1	3	3
05/25/2010	MW	Ann Arbor	234.53	4.3	1	0	0	1	1	3	3
01/06/2010	MW	Ann Arbor	269.09	3.67	1	1	1	1	0	3	3
08/06/2010	MW	Ann Arbor	300.55	4.06	1	1	1	1	0	3	3
06/15/2010	MW	Ann Arbor	288.18	4.39	1	1	1	1	1	3	3
06/22/2010	MW	Ann Arbor	396.25	4.39	1	0	1	1	1	3	3
06/29/2010	MW	Ann Arbor	256.55	3.74	1	1	1	1	1	3	3
06/07/2010	MW	Ann Arbor	295.9	3.91	1	0	1	1	1	3	3
07/13/2010	MW	Ann Arbor	456.47	4.11	1	0	1	1	1	3	3
04/05/2010	MA	Annapolis	155.87	3.9	0	1	0	0	0	2	1
11/05/2010	MA	Annapolis	193.51	3.54	0	0	0	0	0	2	1
05/18/2010	MA	Annapolis	309.49	3.48	0	0	1	0	0	2	1
05/25/2010	MA	Annapolis	254.93	3.6	0	0	1	1	0	2	1
01/06/2010	MA	Annapolis	195.31	3.48	0	1	0	1	0	2	1
08/06/2010	MA	Annapolis	267.94	4.06	0	0	1	1	0	2	1
06/15/2010	MA	Annapolis	247.13	4.06	0	0	0	1	1	2	1
06/22/2010	MA	Annapolis	299.34	3.71	0	0	1	0	1	2	1
06/29/2010	MA	Annapolis	265.72	4.04	0	1	1	1	1	2	1
06/07/2010	MA	Annapolis	259.04	3.71	0	0	1	1	0	2	1
07/13/2010	MA	Annapolis	280.66	3.71	0	0	1	1	0	2	1
04/05/2010	SP	Arroyo	291.01	5.17	1	0	1	1	0	4	2
11/05/2010	SP	Arroyo	392	4.8	1	0	1	1	1	4	2
05/18/2010	SP	Arroyo	232.24	4.68	1	0	0	1	1	4	2
05/25/2010	SP	Arroyo	278.49	4.36	1	0	1	1	0	4	2
01/06/2010	SP	Arroyo	240.17	4.19	1	1	0	1	1	4	2
08/06/2010	SP	Arroyo	229.22	4.94	1	1	0	1	1	4	2
06/15/2010	SP	Arroyo	226.59	4.86	1	0	0	1	0	4	2
06/22/2010	SP	Arroyo	300.13	4.86	1	1	1	0	1	4	2
06/29/2010	SP	Arroyo	457.34	4.79	1	0	1	1	1	4	2
06/07/2010	SP	Arroyo	368.99	3.91	1	0	1	1	0	4	2
07/13/2010	SP	Arroyo	409.11	4.31	1	1	1	1	0	4	2
04/05/2010	NP	Bedford	185.93	4.2	0	0	0	0	0	3	5
11/05/2010	NP	Bedford	139.78	4.2	0	0	0	0	0	3	5
05/18/2010	NP	Bedford	148.04	3.76	0	0	0	0	0	3	5
05/25/2010	NP	Bedford	188.05	3.86	0	0	0	0	0	3	5
01/06/2010	NP	Bedford	186.24	3.86	0	1	0	0	0	3	5
08/06/2010	NP	Bedford	167.51	4.2	0	0	0	0	0	3	5
06/15/2010	NP	Bedford	106.25	4.16	0	0	0	0	0	3	5
06/22/2010	NP	Bedford	167.94	4.12	0	0	0	0	0	3	5
06/29/2010	NP	Bedford	87.52	4.2	0	0	0	0	0	3	5
06/07/2010	NP	Bedford	171.45	3.78	0	1	0	0	0	3	5
07/13/2010	NP	Bedford	116.26	3.27	0	0	0	0	0	3	5
04/05/2010	SW	Bellaire	202.15	4.56	0	0	0	0	0	3	2
11/05/2010	SW	Bellaire	52.21	4.56	0	0	0	0	0	3	2
05/18/2010	SW	Bellaire	207.06	3.92	0	0	0	0	0	3	2
05/25/2010	SW	Bellaire	152.88	3.91	0	0	0	0	0	3	2
01/06/2010	SW	Bellaire	196.05	3.91	0	1	0	0	0	3	2
08/06/2010	SW	Bellaire	119.14	4.49	0	0	0	0	0	3	2
06/15/2010	SW	Bellaire	195.48	4.56	0	1	0	0	0	3	2
06/22/2010	SW	Bellaire	225.25	4.43	0	1	0	0	0	3	2
06/29/2010	SW	Bellaire	114.94	4.49	0	0	0	0	0	3	2
06/07/2010	SW	Bellaire	170.28	4.35	0	0	0	0	0	3	2
07/13/2010	SW	Bellaire	223.11	4.35	0	1	0	0	0	3	2
04/05/2010	PN	Bellevue	178.3	4.84	1	0	0	0	0	2	2
11/05/2010	PN	Bellevue	198.51	4.22	1	0	0	0	0	2	2
05/18/2010	PN	Bellevue	329.45	4.11	1	0	1	0	0	2	2
05/25/2010	PN	Bellevue	241.51	4.11	1	1	0	1	0	2	2
01/06/2010	PN	Bellevue	180.83	4.11	1	0	0	1	0	2	2
08/06/2010	PN	Bellevue	226.1	4.56	1	0	0	1	0	2	2
06/15/2010	PN	Bellevue	257.03	4.32	1	0	1	0	1	2	2
06/22/2010	PN	Bellevue	751.93	4.07	1	1	1	1	1	2	2
06/29/2010	PN	Bellevue	789.09	3.39	1	1	1	1	0	2	2
06/07/2010	PN	Bellevue	831.14	3.53	1	1	1	1	0	2	2
07/13/2010	PN	Bellevue	725.73	2.89	1	1	1	1	1	2	2
04/05/2010	NP	Bellingham	156.18	4.2	0	0	0	0	0	3	0
11/05/2010	NP	Bellingham	208.04	4.12	0	0	0	0	0	3	0
05/18/2010	NP	Bellingham	165.14	3.86	0	0	0	0	0	3	0
05/25/2010	NP	Bellingham	165.87	3.86	0	0	0	0	0	3	0
01/06/2010	NP	Bellingham	134.34	3.76	0	1	0	0	0	3	0
08/06/2010	NP	Bellingham	187.08	4.2	0	1	0	0	0	3	0
06/15/2010	NP	Bellingham	230.61	4.2	0	0	0	0	0	3	0
06/22/2010	NP	Bellingham	150.45	4.2	0	0	0	0	0	3	0
06/29/2010	NP	Bellingham	303.29	3.82	0	1	1	0	0	3	0
06/07/2010	NP	Bellingham	256.18	3.1	0	0	1	1	0	3	0
07/13/2010	NP	Bellingham	241.45	3.1	0	0	0	1	0	3	0
04/05/2010	RM	Belmar	297.22	4.29	1	1	1	0	0	3	2
11/05/2010	RM	Belmar	268.41	4.29	1	0	1	1	0	3	2
05/18/2010	RM	Belmar	206.03	4.09	1	1	0	1	0	3	2
05/25/2010	RM	Belmar	201.97	4.09	1	0	0	1	0	3	2
01/06/2010	RM	Belmar	239.73	3.84	1	0	0	1	1	3	2
08/06/2010	RM	Belmar	171.39	4.26	1	0	0	0	1	3	2
06/15/2010	RM	Belmar	172.75	4.99	1	0	0	0	1	3	2
06/22/2010	RM	Belmar	379.2	3.77	1	0	1	0	0	3	2
06/29/2010	RM	Belmar	346.15	4.7	1	0	1	1	0	3	2
06/07/2010	RM	Belmar	371.49	3.59	1	1	1	1	0	3	2
07/13/2010	RM	Belmar	302.61	3.85	1	0	1	1	0	3	2
04/05/2010	PN	Bend	222.52	4.68	1	0	0	0	0	1	2
11/05/2010	PN	Bend	242.03	4.2	1	0	0	0	0	1	2
05/18/2010	PN	Bend	222.57	4.2	1	0	0	0	0	1	2
05/25/2010	PN	Bend	240.3	3.58	1	1	0	0	0	1	2
01/06/2010	PN	Bend	297.32	4.05	1	1	1	0	0	1	2
08/06/2010	PN	Bend	214.81	4.47	1	0	0	1	0	1	2
06/15/2010	PN	Bend	224.81	3.7	1	0	0	1	0	1	2
06/22/2010	PN	Bend	242.09	3.89	1	0	0	1	0	1	2
06/29/2010	PN	Bend	221.64	3.76	1	1	0	0	1	1	2
06/07/2010	PN	Bend	270	3	1	1	1	0	1	1	2
07/13/2010	PN	Bend	320.59	3	1	0	1	1	0	1	2
04/05/2010	MA	Bethesda	138.23	3.94	0	0	0	0	0	4	3
11/05/2010	MA	Bethesda	263.24	3.52	0	1	1	0	0	4	3
05/18/2010	MA	Bethesda	119.96	3.55	0	0	0	1	0	4	3
05/25/2010	MA	Bethesda	212.36	3.44	0	1	0	1	0	4	3
01/06/2010	MA	Bethesda	167.09	3.55	0	0	0	1	0	4	3
08/06/2010	MA	Bethesda	293.52	3.52	0	1	1	0	1	4	3
06/15/2010	MA	Bethesda	207.82	3.63	0	0	0	1	1	4	3
06/22/2010	MA	Bethesda	273.71	3.63	0	1	1	1	0	4	3
06/29/2010	MA	Bethesda	252.25	3.52	0	1	1	1	0	4	3
06/07/2010	MA	Bethesda	299.64	3.2	0	1	1	1	1	4	3
07/13/2010	MA	Bethesda	305.57	3.2	0	1	1	1	1	4	3
04/05/2010	FL	Biscayne (aka Aventura)	150.7	4.39	0	0	0	0	0	2	0
11/05/2010	FL	Biscayne (aka Aventura)	197.4	4	0	0	0	0	0	2	0
05/18/2010	FL	Biscayne (aka Aventura)	235.11	3.81	0	0	0	0	0	2	0
05/25/2010	FL	Biscayne (aka Aventura)	226.69	3.84	0	1	0	0	0	2	0
01/06/2010	FL	Biscayne (aka Aventura)	257.69	3.9	0	0	1	0	0	2	0
08/06/2010	FL	Biscayne (aka Aventura)	132.96	4.5	0	1	0	1	0	2	0
06/15/2010	FL	Biscayne (aka Aventura)	221.89	4.12	0	0	0	1	0	2	0
06/22/2010	FL	Biscayne (aka Aventura)	245.88	4.12	0	1	0	1	0	2	0
06/29/2010	FL	Biscayne (aka Aventura)	156.1	4.12	0	0	0	0	1	5	0
06/07/2010	FL	Biscayne (aka Aventura)	200.1	3.75	0	1	0	0	1	2	0
07/13/2010	FL	Biscayne (aka Aventura)	128.4	4.01	0	0	0	0	0	2	0
04/05/2010	FL	Boca Raton	142.78	4.39	0	0	0	0	0	1	4
11/05/2010	FL	Boca Raton	237.54	4.24	0	1	0	0	0	1	4
05/18/2010	FL	Boca Raton	141.53	3.81	0	1	0	0	0	1	4
05/25/2010	FL	Boca Raton	158.07	3.81	0	0	0	0	0	1	4
01/06/2010	FL	Boca Raton	255.12	4.06	0	0	1	0	0	1	4
08/06/2010	FL	Boca Raton	129.79	4.38	0	0	0	1	0	1	4
06/15/2010	FL	Boca Raton	137.76	4.36	0	0	0	1	0	1	4
06/22/2010	FL	Boca Raton	306.79	4.36	0	1	1	1	0	1	4
06/29/2010	FL	Boca Raton	103.32	4.36	0	0	0	1	1	1	4
06/07/2010	FL	Boca Raton	240.23	4.01	0	0	0	1	1	1	4
07/13/2010	FL	Boca Raton	190.02	4.01	0	1	0	1	0	1	4
04/05/2010	NE	Bowery	127.98	4.63	0	0	0	0	0	2	2
11/05/2010	NE	Bowery	152.53	4.93	0	1	0	0	0	2	2
05/18/2010	NE	Bowery	250.6	4.37	0	1	1	0	0	2	2
05/25/2010	NE	Bowery	230.19	4.21	1	0	0	1	0	2	2
01/06/2010	NE	Bowery	258.27	4.21	1	0	1	1	0	2	2
08/06/2010	NE	Bowery	120.97	4.63	1	1	0	1	0	2	2
06/15/2010	NE	Bowery	323.96	4.65	1	0	1	0	1	2	2
06/22/2010	NE	Bowery	332.54	4.12	1	0	1	1	1	2	2
06/29/2010	NE	Bowery	318.75	4.12	1	0	1	1	0	2	2
06/07/2010	NE	Bowery	333.85	3.31	1	0	1	1	0	2	2
07/13/2010	NE	Bowery	335.28	3.15	1	1	1	1	1	2	2
04/05/2010	PN	Bridgeport	248.68	4.57	1	0	0	0	0	2	0
11/05/2010	PN	Bridgeport	240.5	4.26	1	1	0	0	0	2	0
05/18/2010	PN	Bridgeport	278.55	4.17	1	0	1	0	0	2	0
05/25/2010	PN	Bridgeport	204.65	4.2	1	0	0	1	0	2	0
01/06/2010	PN	Bridgeport	266.28	4.17	1	1	1	1	0	2	0
08/06/2010	PN	Bridgeport	175.17	4.2	1	0	0	1	0	2	0
06/15/2010	PN	Bridgeport	280.71	3.95	1	1	1	0	1	2	0
06/22/2010	PN	Bridgeport	712.72	3.18	1	1	1	1	1	2	0
06/29/2010	PN	Bridgeport	648.38	3.59	1	1	1	1	0	2	0
06/07/2010	PN	Bridgeport	776.29	3.32	1	1	1	1	0	2	0
07/13/2010	PN	Bridgeport	737.21	3.03	1	1	1	1	1	2	0
04/05/2010	MA	Cedar Center	170.7	3.9	0	0	0	0	0	3	2
11/05/2010	MA	Cedar Center	115.69	3.9	0	0	0	0	0	3	2
05/18/2010	MA	Cedar Center	162.41	3.62	0	1	0	0	0	3	2
05/25/2010	MA	Cedar Center	257.49	3.78	0	0	1	0	0	3	2
01/06/2010	MA	Cedar Center	248.69	3.78	0	0	0	1	0	3	2
08/06/2010	MA	Cedar Center	151.29	3.75	0	1	0	1	0	3	2
06/15/2010	MA	Cedar Center	155.61	3.94	0	1	0	1	0	3	2
06/22/2010	MA	Cedar Center	110.56	3.86	0	0	0	0	1	3	2
06/29/2010	MA	Cedar Center	233.26	3.97	0	1	0	0	1	3	2
06/07/2010	MA	Cedar Center	228.33	3.47	0	0	0	0	0	3	2
07/13/2010	MA	Cedar Center	221.79	3.47	0	0	0	0	0	3	2
04/05/2010	RM	Cerrillos (aka Santa Fe)	145.78	5.39	1	0	0	0	0	2	1
11/05/2010	RM	Cerrillos (aka Santa Fe)	309.05	5.02	1	0	1	0	0	2	1
05/18/2010	RM	Cerrillos (aka Santa Fe)	154.6	5.22	1	0	0	1	0	2	1
05/25/2010	RM	Cerrillos (aka Santa Fe)	247.73	4.88	1	1	0	1	0	2	1
01/06/2010	RM	Cerrillos (aka Santa Fe)	227.99	3.97	1	0	0	1	0	2	1
08/06/2010	RM	Cerrillos (aka Santa Fe)	226.6	4	1	0	0	0	1	2	1
06/15/2010	RM	Cerrillos (aka Santa Fe)	233.32	4.9	1	0	0	0	1	2	1
06/22/2010	RM	Cerrillos (aka Santa Fe)	215.21	4.93	1	0	0	0	0	2	1
06/29/2010	RM	Cerrillos (aka Santa Fe)	233.41	4.32	1	0	0	0	0	2	1
06/07/2010	RM	Cerrillos (aka Santa Fe)	297.12	4.12	1	1	1	0	0	2	1
07/13/2010	RM	Cerrillos (aka Santa Fe)	258.46	4.68	1	0	1	1	0	2	1
04/05/2010	NE	Chelsea	169.6	4.24	0	1	0	0	0	3	1
11/05/2010	NE	Chelsea	209.4	4.23	0	0	0	0	0	3	1
05/18/2010	NE	Chelsea	196.35	4	0	1	0	0	0	3	1
05/25/2010	NE	Chelsea	358.38	4	1	1	1	0	0	3	1
01/06/2010	NE	Chelsea	198.01	4	1	0	0	1	0	3	1
08/06/2010	NE	Chelsea	166.41	4.24	1	1	0	1	0	3	1
06/15/2010	NE	Chelsea	299.87	4.24	1	0	1	1	0	3	1
06/22/2010	NE	Chelsea	344.86	4.24	1	0	1	1	1	3	1
06/29/2010	NE	Chelsea	340.27	4.24	1	0	1	1	1	3	1
06/07/2010	NE	Chelsea	262.28	3.75	1	0	1	1	0	3	1
07/13/2010	NE	Chelsea	235.87	3.75	1	0	0	1	1	2	1
04/05/2010	SO	Cobb (aka Cobb Harry's)	87.77	4.05	0	0	0	1	1	1	4
11/05/2010	SO	Cobb (aka Cobb Harry's)	245.93	3.72	0	1	0	1	1	1	4
05/18/2010	SO	Cobb (aka Cobb Harry's)	210.68	3.55	0	1	0	1	0	1	4
05/25/2010	SO	Cobb (aka Cobb Harry's)	178.49	3.46	0	1	0	0	1	1	4
01/06/2010	SO	Cobb (aka Cobb Harry's)	167.61	3.65	0	0	0	0	1	1	4
08/06/2010	SO	Cobb (aka Cobb Harry's)	198.36	3.64	0	0	0	0	0	1	4
06/15/2010	SO	Cobb (aka Cobb Harry's)	238.09	3.94	0	1	0	0	0	1	4
06/22/2010	SO	Cobb (aka Cobb Harry's)	175.31	3.98	0	1	0	0	0	1	4
06/29/2010	SO	Cobb (aka Cobb Harry's)	191.41	4.57	0	1	0	0	0	1	4
06/07/2010	SO	Cobb (aka Cobb Harry's)	145.28	3.63	0	1	0	0	0	1	4
07/13/2010	SO	Cobb (aka Cobb Harry's)	275.56	3.44	0	1	1	0	0	1	4
04/05/2010	MA	Columbus	326.96	4.12	0	0	1	0	0	1	4
11/05/2010	MA	Columbus	172.14	4.13	0	1	0	1	0	1	4
05/18/2010	MA	Columbus	209.3	3.62	0	1	0	1	0	1	4
05/25/2010	MA	Columbus	158.7	3.76	0	0	0	1	0	1	4
01/06/2010	MA	Columbus	203.48	3.78	0	0	0	0	1	1	4
08/06/2010	MA	Columbus	183.1	3.63	0	0	0	0	1	1	4
06/15/2010	MA	Columbus	162.4	3.75	0	1	0	0	0	1	4
06/22/2010	MA	Columbus	372.17	3.74	0	1	1	0	0	1	4
06/29/2010	MA	Columbus	389.76	3.74	0	1	1	1	0	1	4
06/07/2010	MA	Columbus	302.68	3.5	0	1	1	1	0	1	4
07/13/2010	MA	Columbus	301.9	3.5	0	1	1	1	0	1	4
04/05/2010	NE	Columbus Circle	203.8	4.2	0	1	0	0	0	3	1
11/05/2010	NE	Columbus Circle	219.29	4.82	0	0	0	0	0	3	1
05/18/2010	NE	Columbus Circle	294.08	4.12	0	0	1	0	0	3	1
05/25/2010	NE	Columbus Circle	337.73	3.92	1	0	1	1	0	3	1
01/06/2010	NE	Columbus Circle	198.85	3.92	1	0	0	1	0	3	1
08/06/2010	NE	Columbus Circle	224.23	4.2	1	1	0	1	0	3	1
06/15/2010	NE	Columbus Circle	258.86	4.2	1	0	1	0	1	3	1
06/22/2010	NE	Columbus Circle	259.4	3.8	1	0	1	1	1	3	1
06/29/2010	NE	Columbus Circle	206.17	3.93	1	1	0	1	0	3	1
06/07/2010	NE	Columbus Circle	304.47	3.31	1	0	1	1	0	3	1
07/13/2010	NE	Columbus Circle	331.18	3.15	1	0	1	1	1	3	1
04/05/2010	FL	Coral Gables	149.77	4.52	0	1	0	0	0	3	1
11/05/2010	FL	Coral Gables	223.61	3.72	0	1	0	0	0	3	1
05/18/2010	FL	Coral Gables	216.37	3.79	0	1	0	0	0	3	1
05/25/2010	FL	Coral Gables	205.53	3.9	0	1	0	0	0	3	1
01/06/2010	FL	Coral Gables	131.63	4.04	0	0	0	0	0	3	1
08/06/2010	FL	Coral Gables	199.93	4.41	0	1	0	0	0	3	1
06/15/2010	FL	Coral Gables	217.95	4.36	0	1	0	0	0	3	1
06/22/2010	FL	Coral Gables	139.61	4.39	0	1	0	0	0	3	1
06/29/2010	FL	Coral Gables	106.42	4.52	0	0	0	0	0	3	1
06/07/2010	FL	Coral Gables	203.74	3.9	0	0	0	0	0	3	1
07/13/2010	FL	Coral Gables	159.43	4.19	0	0	0	0	0	3	1
04/05/2010	FL	Coral Springs	305.18	4.49	0	1	1	0	0	2	1
11/05/2010	FL	Coral Springs	235.46	4.4	0	0	0	1	0	2	1
05/18/2010	FL	Coral Springs	239.69	3.81	0	1	0	1	0	2	1
05/25/2010	FL	Coral Springs	220.95	4.06	0	1	0	1	0	2	1
01/06/2010	FL	Coral Springs	233.33	3.96	0	1	0	0	1	2	1
08/06/2010	FL	Coral Springs	143.79	3.69	0	0	0	0	1	2	1
06/15/2010	FL	Coral Springs	192.92	4.64	0	1	0	0	0	2	1
06/22/2010	FL	Coral Springs	134.71	4.37	0	1	0	0	0	2	1
06/29/2010	FL	Coral Springs	118.94	4.64	0	0	0	0	0	2	1
